factor,cocktail_id,target_cell,source_cell,rank,percentile,family,n_regulatory
PDX1,BETA-05,Beta cell,Enterocyte,1,0.03,Endocrine,3166
PAX2,TUBULE-01,Renal tubular,Fibroblast,1,0.03,Renal,3166
CDX1,ENTEROCYTE-02,Intestinal,Gastric,2,0.06,Gut,3166
NKX2-1,LUNG-01,AT2 cell,Fibroblast,2,0.06,Lung,3166
IKZF2,HAIR-03,Outer hair cell,Supporting cell,3,0.09,Sensory,3166
TBX5,CARDIO-13,Cardiomyocyte,Fibroblast,3,0.09,Cardiac,3166
CDX2,ENTEROCYTE-01,Enterocyte,Gastric,3,0.09,Gut,3166
EOMES,NK-01,NK cell,T cell,3,0.09,Immune,3166
GATA1,MAST-01,Mast cell,HSC,3,0.09,Immune,3166
LMX1B,PODOCYTE-01,Podocyte,Fibroblast,3,0.09,Renal,3166
ATOH1,HAIR-01,Cochlear hair cell,Supporting cell,5,0.16,Sensory,3166
PPARG,SEBOCYTE-01,Sebocyte,Keratinocyte,5,0.16,Epithelial,3166
SP7,PERIOSTEUM-01,Periosteal cell,MSC,6,0.19,Mesenchymal,3166
MYT1L,NEURON-21,Striatal MSN,Fibroblast,7,0.22,Neuron,3166
DLX1,NEURON-21,Striatal MSN,Fibroblast,8,0.25,Neuron,3166
POU4F3,HAIR-01,Cochlear hair cell,Supporting cell,9,0.28,Sensory,3166
GATA4,CARDIO-13,Cardiomyocyte,Fibroblast,10,0.32,Cardiac,3166
MAFA,BETA-06,Beta cell,Duct cell,10,0.32,Endocrine,3166
CRX,PHOTO-01,Photoreceptor,Fibroblast,12,0.38,Sensory,3166
FOXA2,LUNG-01,AT2 cell,Fibroblast,12,0.38,Lung,3166
WT1,PODOCYTE-01,Podocyte,Fibroblast,12,0.38,Renal,3166
CEBPA,SEBOCYTE-01,Sebocyte,Keratinocyte,14,0.44,Epithelial,3166
RAX,PHOTO-01,Photoreceptor,Fibroblast,17,0.54,Sensory,3166
NRL,PHOTO-02,Rod photoreceptor,Muller glia,17,0.54,Sensory,3166
SIX2,TUBULE-01,Renal tubular,Fibroblast,17,0.54,Renal,3166
KLF4,CORNEA-01,Corneal epithelial,Fibroblast,20,0.63,Ocular,3166
RUNX2,PERIOSTEUM-01,Periosteal cell,MSC,20,0.63,Mesenchymal,3166
TBX21,NK-01,NK cell,T cell,22,0.69,Immune,3166
FOXC2,ENDO-05,Endothelial,Amniotic,23,0.73,Vascular,3166
