cocktail_id,target_cell,source_cell,validation_set,factors_published,n_factors,factors_in_pool,factors_not_in_pool,pmid,first_author,year,journal,scoring_status,factor_ranks,top5_pct_recovery,top10_pct_recovery,notes
SET3-DC-01,cDC1,Fibroblast,Set 3 — Blind held-out validation,PU.1; IRF8; BATF3,3,SPI1; IRF8; BATF3,,,Ascic et al Science 2024,2024,,scored,SPI1:#74(2.3%); IRF8:#121(3.8%); BATF3:#14(0.4%),3/3,3/3,PIB cocktail - in vivo dendritic cell reprogramming for cancer immunotherapy
SET3-DC-02,cDC2,Fibroblast,Set 3 — Blind held-out validation,PU.1; IRF4,2,SPI1; IRF4,,,Pereira lab,2024,,scored,SPI1:#74(2.3%); IRF4:#276(8.7%),1/2,2/2,cDC2 subset generation
SET3-MAC-01,Macrophage,Fibroblast,Set 3 — Blind held-out validation,PU.1; CEBPA,2,SPI1; CEBPA,,,Ascic & Pereira Curr Opin Genet Dev 2025,2025,,scored,SPI1:#6(0.2%); CEBPA:#244(7.7%),1/2,2/2,Macrophage-like cell reprogramming
SET3-NK-01,NK cell,Fibroblast,Set 3 — Blind held-out validation,PU.1; IKZF2; KLF4,3,SPI1; IKZF2; KLF4,,,Cell Systems 2026 REPROcode,2026,,scored,SPI1:#72(2.3%); IKZF2:#581(18.4%); KLF4:#447(14.1%),1/3,1/3,48-TF screen identified NK-like lymphoid cells
SET3-OLIGO-01,Oligodendrocyte,Astrocyte,Set 3 — Blind held-out validation,OLIG2; SOX10,2,OLIG2; SOX10,,,Prajapati et al bioRxiv 2026,2026,,scored,OLIG2:#56(1.8%); SOX10:#1884(59.5%),1/2,1/2,Ex vivo human cortex astrocyte-to-OL conversion - brand new preprint March 2026
SET3-REC-01,Renal tubular epithelial,Fibroblast,Set 3 — Blind held-out validation,EMX2; HNF1B; HNF4A; PAX8,4,HNF1B; HNF4A; PAX8,EMX2,,Kaminski et al Nat Cell Biol 2016,2016,,scored,EMX2:not_in_pool; HNF1B:#22(0.7%); HNF4A:#45(1.4%); PAX8:#39(1.2%),3/3,3/3,iRECs - validated but may not be in your sets
SET3-NSC-01,Neural stem cell,Fibroblast,Set 3 — Blind held-out validation,PTF1A,1,PTF1A,,,Nat Commun 2018,2018,,scored,PTF1A:#395(12.5%),0/1,0/1,Single non-neural progenitor TF sufficient for iNSC generation
SET3-CARD-01,Cardiomyocyte human,Fibroblast,Set 3 — Blind held-out validation,GATA4; MEF2C; TBX5; MESP1; MYOCD,5,GATA4; MEF2C; TBX5; MESP1; MYOCD,,,Wada et al 2013,2013,,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); MESP1:#35(1.1%); MYOCD:#46(1.5%),5/5,5/5,Human cardiac - GMT plus MESP1/MYOCD
SET3-CARD-02,Cardiomyocyte human,Fibroblast,Set 3 — Blind held-out validation,GATA4; MEF2C; TBX5; MYOCD; SRF,5,GATA4; MEF2C; TBX5; MYOCD; SRF,,,Christoforou et al PLoS ONE,2013,,scored,GATA4:#10(0.3%); MEF2C:#149(4.7%); TBX5:#3(0.1%); MYOCD:#46(1.5%); SRF:#33(1.0%),5/5,5/5,SRF addition improves human cardiac
SET3-CARD-03,Cardiomyocyte human,Fibroblast,Set 3 — Blind held-out validation,MEF2C; ASCL1,2,MEF2C; ASCL1,,,Wang et al 2022,2022,,scored,MEF2C:#149(4.7%); ASCL1:#1061(33.5%),1/2,1/2,Cardiac via neuronal factor - MEF2C redirects ASCL1
SET3-CARD-04,Cardiomyocyte human,Cardiac fibroblast,Set 3 — Blind held-out validation,MYOCD; ASCL1; miR-133; miR-208,4,MYOCD; ASCL1,,,Zhou et al 2023,2023,,scored,MYOCD:#46(1.5%); ASCL1:#1061(33.5%),1/2,1/2,AAV-based human cardiac
SET3-NEURON-01,Cortical neuron,Fibroblast,Set 3 — Blind held-out validation,miRNA-mediated 3D culture,1,,miRNA-mediated 3D culture,,Sun et al 2024,2024,,skipped: no gene factors,,,,Alzheimer's disease modeling via patient-derived cortical neurons
SET3-NEURON-02,Induced neuron,Fibroblast,Set 3 — Blind held-out validation,ASCL1 with PTBP2 knockdown,1,,ASCL1 with PTBP2 knockdown,,Zhu et al 2023,2023,,skipped: no gene factors,,,,PTBP2 silencing enhances ASCL1-mediated conversion
