family,set,n_cocktails,n_factor_tests,top5_pct,top10_pct,median_percentile
Blood,Set 1,5,13,38.5,53.8,9.5
Cardiac,Set 1,8,28,100.0,100.0,0.5
Endocrine,Set 1,3,7,85.7,85.7,0.3
Epithelial,Set 1,1,5,80.0,100.0,4.0
Glial,Set 1,4,10,60.0,60.0,3.7
Hepatic,Set 1,5,16,100.0,100.0,0.3
Immune,Set 1,3,8,87.5,100.0,2.3
Mesenchymal,Set 1,4,10,70.0,70.0,1.0
Muscle,Set 1,3,4,100.0,100.0,0.4
Neuron,Set 1,18,55,80.0,83.6,2.0
Vascular,Set 1,3,11,27.3,54.5,9.9
Blood,Set 2,1,6,33.3,66.7,7.4
Cardiac,Set 2,4,13,84.6,84.6,1.5
Endocrine,Set 2,3,8,62.5,62.5,0.5
Epithelial,Set 2,3,7,57.1,85.7,3.0
Glial,Set 2,2,5,80.0,100.0,2.4
Gut,Set 2,4,6,50.0,66.7,2.9
Immune,Set 2,8,15,46.7,73.3,5.4
Lung,Set 2,1,4,100.0,100.0,1.3
Mesenchymal,Set 2,5,10,60.0,70.0,1.8
Neuron,Set 2,5,17,58.8,70.6,4.8
Ocular,Set 2,3,8,50.0,50.0,7.6
Pigment,Set 2,2,4,75.0,75.0,3.7
Renal,Set 2,2,6,100.0,100.0,0.2
Sensory,Set 2,7,20,80.0,80.0,0.5
Vascular,Set 2,2,4,25.0,100.0,7.6
Cardiac,Set 3,4,14,85.7,85.7,1.5
Glial,Set 3,1,2,50.0,50.0,30.6
Immune,Set 3,7,17,58.8,70.6,3.4
Lung,Set 3,2,2,50.0,50.0,14.9
Neuron,Set 3,9,8,62.5,75.0,3.5
Renal,Set 3,2,6,50.0,66.7,4.6
