component,component_name,set1_top5,set2_top5,set3_top5,mean_top5
w_gtex,GTEx expression,67.1,36.8,51.0,51.6
w_pheno,Phenotype/disease,45.5,47.4,36.7,43.2
w_kern,Kernel signature,19.2,12.8,6.1,12.7
w_temp,Temporal expression,12.0,11.3,12.2,11.8
w_tau,Tissue specificity (tau),8.4,9.0,6.1,7.8
w_dir,Directional connectivity,7.8,7.5,2.0,5.8
w_act,Activation precision,6.0,1.5,2.0,3.2
w_enr,Enrichment magnitude,4.2,3.0,0.0,2.4
w_frac,Enrichment fraction,1.8,2.3,2.0,2.0
full_model,Full 9-component model,77.8,64.7,65.3,69.3
