cell_type,tissue_system,germ_layer,layer_id,os_analogy,cell_type_description,n_markers_in_catalog,marker_gene
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,ALDH1L1
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,AQP4
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,CLU
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,FABP7
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,GFAP
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,GJA1
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,GLUL
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,NFIA
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,NFIB
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,S100B
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,SLC1A2
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,SLC1A3
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,SOX9
ASTROCYTE,Brain,ECTODERM,4,"System daemon — resource management, cleanup, homeostasis","Glial support cells — metabolic support, BBB, synapse maintenance",14,VIM
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,BCL11B
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,CAMK2A
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,CTIP2
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,CUX1
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,CUX2
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,DLG4
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,FEZF2
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,FOXP2
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,GRIN1
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,GRIN2A
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,GRIN2B
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,NRGN
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,RORB
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SATB2
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SLC17A6
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SLC17A7
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SNAP25
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SYN1
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,SYT1
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,TBR1
NEURON_EXCITATORY,Brain,ECTODERM,4,Application worker thread — generates output signals,Glutamatergic neurons — primary signal generators,21,VGLUT1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,ADARB2
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,CALB1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,CALB2
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,DLX1
NEURON_INHIBITORY,Brain,ECTODERM,4,Rate limiter / governor thread — suppresses excessive activity,GABAergic interneurons — signal inhibitors,17,DLX2
