family,known_factors,known_cofactors,program_neighbors,novel_predictions,total,pct_explained
Blood,4,4,285,7,300,97.7
Cardiac,38,90,653,19,800,97.6
Endocrine,11,7,282,0,300,100.0
Epithelial,3,5,183,9,200,95.5
Glial,5,0,332,13,350,96.3
Gut,3,5,185,7,200,96.5
Hepatic,16,34,192,8,250,96.8
Immune,10,12,796,82,900,90.9
Lung,3,6,131,10,150,93.3
Mesenchymal,9,3,408,30,450,93.3
Muscle,4,0,133,13,150,91.3
Neuron,24,174,1253,149,1600,90.7
Ocular,1,6,134,9,150,94.0
Pigment,0,0,96,4,100,96.0
Renal,8,20,168,4,200,98.0
Sensory,14,11,312,13,350,96.3
Vascular,2,8,234,6,250,97.6
