gene,category,n_in_category,category_description,source,note
CCT2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT3,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT4,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT5,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT6A,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT7,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CCT8,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CDK1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CDK2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CDK7,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
CDK9,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
COPA,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
COPB1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
COPB2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
COPE,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
COPG1,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
MCM2,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
MCM4,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
MCM5,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
MCM7,essential_core,54,Core essential genes (Chronos score < -1.0 across DepMap 25Q3 CRISPR screens),DepMap 25Q3; Meyers et al. 2017; Behan et al. 2019,"Selected as genes with mean Chronos < -1.0 across all 1,186 cell lines"
